date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:32:58	27971/27971	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Jun%202021%2023:32:59%20GMT	https://www.abbottsannnursery.co.uk/contact	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/contact.html	(from https://www.abbottsannnursery.co.uk/)
00:32:59	33325/33325	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Jun%202021%2023:33:00%20GMT	https://www.abbottsannnursery.co.uk/work-for-us	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/work-for-us.html	(from https://www.abbottsannnursery.co.uk/)
00:32:59	41099/41099	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Jun%202021%2023:33:00%20GMT	https://www.abbottsannnursery.co.uk/covid-19	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/covid-19.html	(from https://www.abbottsannnursery.co.uk/)
00:33:08	255514/255514	---M--	200	added ('OK')	image/jpeg	etag:W/%223e61a-yMVHAzal8deRnScPvh0oHfA4OZw%22	https://mediaprocessor.websimages.com/fit/1920x1920/www.abbottsannnursery.co.uk/IMG_20210427_093051-1.jpg	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/fit/1920x1920/www.abbottsannnursery.co.uk/IMG_20210427_093051-1.jpg	(from https://www.abbottsannnursery.co.uk/)
00:33:08	182966/182966	---M--	200	added ('OK')	image/jpeg	etag:W/%222fe57-GiebYaH5qdtI1QcZplqputDDCLw%22	https://mediaprocessor.websimages.com/fit/1920x1920/www.abbottsannnursery.co.uk/Stay%20home.JPG	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/fit/1920x1920/www.abbottsannnursery.co.uk/Stay%20home.jpg	(from https://www.abbottsannnursery.co.uk/)
00:33:18	335329/335329	---M--	200	added ('OK')	image/jpeg	etag:W/%2251de1-6dQvPyWxYhjsak/vOB68dSrWnFI%22	https://mediaprocessor.websimages.com/fit/1920x1920/www.abbottsannnursery.co.uk/IMG_20210427_095659.jpg	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/fit/1920x1920/www.abbottsannnursery.co.uk/IMG_20210427_095659.jpg	(from https://www.abbottsannnursery.co.uk/)
00:33:18	380892/380892	---M--	200	added ('OK')	image/png	etag:W/%228d80a-yn9K3HSqY6kI2oPIBfC0qKlNcps%22	https://mediaprocessor.websimages.com/fit/1920x1920/www.abbottsannnursery.co.uk/Join%20Us.PNG	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/fit/1920x1920/www.abbottsannnursery.co.uk/Join%20Us.png	(from https://www.abbottsannnursery.co.uk/)
00:33:18	44419/44419	---M--	200	added ('OK')	image/png	etag:W/%22add4-XI79m3SbyXycpAF1l1plmPaFb/U%22	https://mediaprocessor.websimages.com/width/205/crop/1,0,202x199/www.abbottsannnursery.co.uk/Children%20heading.png	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/width/205/crop/1,0,202x199/www.abbottsannnursery.co.uk/Children%20heading.png	(from https://www.abbottsannnursery.co.uk/)
00:33:18	223527/223527	---M--	200	added ('OK')	application/pdf	date:Tue,%2029%20Jun%202021%2023:33:20%20GMT	https://www.abbottsannnursery.co.uk/Feb2021%20Newsletter%20rev1%20(1).pdf	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/Feb2021%20Newsletter%20rev1%20(1).pdf	(from https://www.abbottsannnursery.co.uk/)
00:33:19	3257/3257	---M--	200	added ('OK')	image/png	etag:W/%22cce-NlLHy050g7m6VRF31yPml+5yJD0%22	https://mediaprocessor.websimages.com/width/47/crop/0,0,47x47/www.abbottsannnursery.co.uk/Ofsted_Good.png	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/width/47/crop/0,0,47x47/www.abbottsannnursery.co.uk/Ofsted_Good.png	(from https://www.abbottsannnursery.co.uk/)
